"Model","Variable","Dependent","ImportanceScaled","ImportanceRaw"
"Neural Networks","parsmoke2","likeskl",16.0226431330018,0.2177330780523
"Neural Networks","sibsmoke2","likeskl",10.9329716990925,0.154976616589259
"Neural Networks","drinkloc","likeskl",62.4559220453112,0.790262821180485
"Neural Networks","stimulants2","likeskl",13.6039400972465,0.187910083419947
"Neural Networks","offerany","likeskl",26.6699351032413,0.349015888130053
"Neural Networks","subuse2","likeskl",35.680693181847,0.460119974013738
"Neural Networks","smcost","Truant1",10.1183353993134,0.110517388960805
"Neural Networks","numeffects","Truant1",70.5910467891917,0.598528885277604
"Neural Networks","density","Truant1",10.9336762736292,0.117097145530967
"Neural Networks","simd","Truant1",26.5398735855012,0.243038310180922
"Neural Networks","sex","Truant1",74.7751302375039,0.632294211445317
"Neural Networks","classyr","Truant1",68.8879168224252,0.584784718951984
"Neural Networks","whnlvskl","Truant1",69.5171463049884,0.589862566699418
"Neural Networks","smfriend","Truant1",13.1522441838175,0.135000868063784
"Neural Networks","homesmk","Truant1",16.1292677061382,0.159025286190687
"Neural Networks","carsmk","Truant1",30.1988985187049,0.272566442650473
"Neural Networks","ecig","Truant1",33.8612938061733,0.302121773695877
"Neural Networks","smkmum","Truant1",24.4321235655989,0.226028882003597
"Neural Networks","smkdad","Truant1",30.968646832805,0.278778269736073
"Neural Networks","smkbroth","Truant1",18.71127816461,0.179861970347624
"Neural Networks","smksist","Truant1",26.0412825205648,0.239014707368059
"Neural Networks","smkgf","Truant1",38.3288745651159,0.338174907762107
"Neural Networks","smbkfrnd","Truant1",49.9870693656212,0.432255906582669
"Neural Networks","smconf","Truant1",44.925530870201,0.391409565844117
"Neural Networks","smsport","Truant1",8.90735014619006,0.100744803743248
"Neural Networks","smslim","Truant1",41.2000065157802,0.361344786657287
"Neural Networks","smpreg","Truant1",38.73729471108,0.341470836156534
"Neural Networks","smrelax","Truant1",37.8436987501789,0.334259565288084
"Neural Networks","smheart","Truant1",17.0305432703161,0.16629853104046
"Neural Networks","smlot","Truant1",27.0120696077352,0.246848906432835
"Neural Networks","smcold","Truant1",34.060299765003,0.303727740974545
"Neural Networks","smharm","Truant1",36.7138449755555,0.325141706695333
"Neural Networks","smcope","Truant1",31.2361234646939,0.280936791627316
"Neural Networks","smsmell","Truant1",32.845826945247,0.293927011283691
"Neural Networks","smfun","Truant1",41.5533578727319,0.364196312915467
"Neural Networks","smskin","Truant1",23.2755184657515,0.216695141669297
"Neural Networks","smwind","Truant1",19.3387510379024,0.184925642353653
"Neural Networks","smeasy","Truant1",21.6565017052837,0.203629764349865
"Neural Networks","health","Truant1",28.2991171398223,0.257235310110276
"Neural Networks","longill","Truant1",37.7411407169715,0.333431927530581
"Neural Networks","wwopti","Truant1",24.9981234923093,0.230596470669637
"Neural Networks","wwintr","Truant1",28.2192690925892,0.256590940706084
"Neural Networks","wwenerg","Truant1",23.0526617726443,0.214896700260472
"Neural Networks","wwclose","Truant1",25.484972200858,0.234525313304243
"Neural Networks","wwconf","Truant1",19.1524818143458,0.183422459836839
"Neural Networks","wwcheer","Truant1",24.8850106180479,0.229683655918119
"Neural Networks","carer15","Truant1",20.4954168989479,0.194259873027521
"Neural Networks","alevr","Truant1",39.3641164647297,0.346529253662412
"Neural Networks","mahome","Truant1",19.68759555032,0.187740798621234
"Neural Networks","stepma","Truant1",12.3300768939305,0.12836602269074
"Neural Networks","steppa","Truant1",9.80469108373265,0.107986296369785
"Neural Networks","grandma","Truant1",20.7419868290231,0.196249678970684
"Neural Networks","grandpa","Truant1",6.77986246612022,0.0835760937204293
"Neural Networks","fostpa","Truant1",0,0.0288629718697821
"Neural Networks","bruv","Truant1",14.8689139044799,0.148854299467926
"Neural Networks","sister","Truant1",21.9745682276748,0.206196543909651
"Neural Networks","ahome","Truant1",30.4453975949557,0.274555676807121
"Neural Networks","difhome","Truant1",37.7858489989123,0.333792720937495
"Neural Networks","talkma","Truant1",59.1226181998146,0.505979289473619
"Neural Networks","talkpa","Truant1",23.1618600124667,0.215777924124693
"Neural Networks","talkoth","Truant1",31.926107819675,0.286504927895238
"Neural Networks","owncash","Truant1",52.7651659224302,0.454674994902691
"Neural Networks","welloff","Truant1",23.637968591443,0.219620094497004
"Neural Networks","npsoff","Truant1",24.4769897398025,0.226390949592496
"Neural Networks","othdrgoff","Truant1",55.7540676806748,0.478795269748331
"Neural Networks","dgtake","Truant1",21.1858682945503,0.199831778287889
"Neural Networks","helptch","Truant1",9.99946670595816,0.109558125061829
"Neural Networks","helppar","Truant1",26.9870278136183,0.246646820514467
"Neural Networks","helpfri","Truant1",18.2718309768782,0.176315655411378
"Neural Networks","helpdsv","Truant1",13.7390442594599,0.139736312801937
"Neural Networks","helpksw","Truant1",11.6367545375156,0.122770948932553
"Neural Networks","helpkst","Truant1",13.9577818512631,0.141501513286968
"Neural Networks","helptfw","Truant1",3.00415795106647,0.0531063633628472
"Neural Networks","helptft","Truant1",4.99907622256939,0.0692052454590916
"Neural Networks","helpclw","Truant1",0.820895699117439,0.0354875555743815
"Neural Networks","helpweb","Truant1",12.5449360064424,0.130099924058553
"Neural Networks","helpdk","Truant1",16.4390095985764,0.161524886438909
"Neural Networks","helpoth","Truant1",0.290046066984202,0.0312036278763765
"Neural Networks","drugease","Truant1",17.6907046590656,0.171625997590738
"Neural Networks","heradd","Truant1",22.9794374915239,0.214305784289037
"Neural Networks","herdang","Truant1",40.2890085703636,0.353993082718993
"Neural Networks","injhiv","Truant1",15.2183125466076,0.15167392753217
"Neural Networks","injhepc","Truant1",18.228072140711,0.175962523980287
"Neural Networks","snifdam","Truant1",36.0939023125916,0.320138803077649
"Neural Networks","cokedang","Truant1",28.4955242674318,0.258820304962153
"Neural Networks","candang","Truant1",28.3327019014919,0.25750633731278
"Neural Networks","excite","Truant1",25.2005892371332,0.232230358233358
"Neural Networks","helpadv","Truant1",25.8233320514281,0.237255858920193
"Neural Networks","stupid","Truant1",27.6949489292092,0.252359705466267
"Neural Networks","sellpun","Truant1",37.2674555879706,0.329609314267941
